"age" "job" "marital" "education" "default" "balance" "housing" "loan" "contact" "day" "month" "duration" "campaign" "pdays" "previous" "y"
50 "entrepreneur" "married" "tertiary" "no" 471 "yes" "no" "teleph" 18 "may" 47 4 -1 0 "no"
37 "admin." "married" "secondary" "no" -116 "yes" "no" "unknown" 28 "may" 158 2 -1 0 "no"
54 "blue-collar" "married" "primary" "no" 4895 "no" "no" "teleph" 21 "nov" 168 3 -1 0 "no"
40 "services" "married" "secondary" "no" 55 "yes" "no" "teleph" 11 "may" 50 1 -1 0 "no"
50 "services" "married" "secondary" "no" 1045 "no" "yes" "teleph" 14 "aug" 757 4 -1 0 "no"
57 "retired" "married" "secondary" "no" 53 "yes" "yes" "teleph" 25 "aug" 93 4 -1 0 "no"
33 "technician" "married" "secondary" "no" 3772 "no" "no" "teleph" 11 "aug" 285 2 -1 0 "no"
49 "technician" "married" "secondary" "no" -160 "yes" "no" "teleph" 20 "apr" 390 1 -1 0 "no"
35 "services" "married" "secondary" "no" 0 "yes" "no" "teleph" 18 "may" 146 2 -1 0 "no"
28 "blue-collar" "single" "secondary" "no" 0 "yes" "no" "unknown" 28 "may" 386 1 -1 0 "no"
58 "management" "married" "tertiary" "no" 187 "no" "no" "teleph" 19 "aug" 145 7 -1 0 "no"
31 "admin." "single" "secondary" "no" -442 "no" "yes" "teleph" 7 "jul" 230 1 -1 0 "no"
36 "management" "divorced" "tertiary" "no" 705 "no" "no" "teleph" 16 "jul" 237 2 91 1 "no"
49 "blue-collar" "single" "primary" "no" 1130 "no" "no" "teleph" 8 "jul" 474 2 -1 0 "no"
30 "unemployed" "married" "secondary" "no" 154 "yes" "no" "unknown" 20 "may" 350 4 -1 0 "no"
29 "services" "single" "secondary" "no" 227 "yes" "no" "teleph" 28 "jul" 487 7 -1 0 "no"
50 "management" "married" "unknown" "no" 3591 "no" "no" "unknown" 5 "jun" 1009 2 -1 0 "no"
26 "student" "single" "tertiary" "no" 320 "no" "no" "teleph" 5 "mar" 87 1 91 2 "yes"
27 "housemaid" "married" "secondary" "no" 5270 "yes" "yes" "teleph" 23 "jul" 82 3 -1 0 "no"
32 "blue-collar" "single" "secondary" "no" 1815 "yes" "no" "teleph" 18 "may" 183 1 -1 0 "no"
62 "unknown" "married" "secondary" "no" 399 "no" "no" "teleph" 2 "mar" 139 5 -1 0 "no"
34 "blue-collar" "single" "secondary" "no" 14873 "yes" "no" "unknown" 3 "jun" 115 3 -1 0 "no"
25 "admin." "single" "tertiary" "no" 1543 "no" "no" "teleph" 8 "apr" 124 2 -1 0 "no"
34 "management" "single" "tertiary" "no" 370 "yes" "no" "unknown" 3 "jun" 633 28 -1 0 "no"
44 "technician" "single" "secondary" "no" 1825 "no" "no" "teleph" 20 "oct" 718 1 -1 0 "yes"
38 "management" "married" "tertiary" "no" 1302 "yes" "no" "teleph" 2 "feb" 63 1 -1 0 "no"
57 "admin." "married" "secondary" "no" 184 "no" "no" "teleph" 14 "aug" 180 1 106 2 "no"
36 "self-employed" "married" "tertiary" "no" 550 "no" "no" "teleph" 25 "aug" 47 1 120 1 "no"
41 "entrepreneur" "married" "secondary" "no" 1358 "yes" "no" "teleph" 9 "jul" 391 1 -1 0 "no"
36 "management" "single" "tertiary" "no" 737 "no" "yes" "unknown" 4 "jul" 85 3 -1 0 "no"
27 "management" "single" "tertiary" "no" 230 "yes" "no" "teleph" 15 "may" 373 1 -1 0 "no"
37 "technician" "divorced" "secondary" "no" 25 "no" "no" "teleph" 20 "aug" 289 2 -1 0 "no"
47 "management" "single" "tertiary" "no" 4785 "no" "no" "teleph" 10 "dec" 805 1 190 1 "yes"
31 "services" "divorced" "primary" "no" 499 "yes" "no" "teleph" 7 "may" 623 1 293 1 "yes"
39 "self-employed" "married" "secondary" "no" 5133 "yes" "no" "unknown" 17 "jun" 483 1 -1 0 "no"
35 "admin." "divorced" "tertiary" "no" 1690 "yes" "no" "unknown" 9 "may" 26 2 -1 0 "no"
40 "blue-collar" "married" "secondary" "no" 66 "yes" "no" "unknown" 7 "may" 112 3 -1 0 "no"
38 "management" "single" "tertiary" "no" 0 "yes" "no" "teleph" 17 "nov" 213 2 -1 0 "no"
31 "technician" "married" "secondary" "no" 4028 "yes" "no" "teleph" 20 "nov" 129 1 -1 0 "no"
36 "blue-collar" "married" "primary" "no" 1279 "no" "no" "teleph" 15 "apr" 330 1 311 4 "yes"
53 "management" "married" "primary" "no" 2278 "no" "no" "unknown" 9 "jun" 104 1 -1 0 "no"
59 "blue-collar" "married" "primary" "no" 813 "no" "no" "unknown" 29 "may" 184 1 -1 0 "no"
29 "management" "single" "tertiary" "no" 3649 "no" "no" "teleph" 21 "jul" 120 3 -1 0 "no"
30 "admin." "single" "secondary" "no" 4140 "yes" "no" "unknown" 3 "jun" 159 4 -1 0 "no"
52 "admin." "married" "secondary" "no" 429 "yes" "no" "unknown" 15 "may" 391 3 -1 0 "no"
55 "blue-collar" "married" "secondary" "no" 1099 "yes" "no" "teleph" 12 "aug" 112 2 -1 0 "no"
56 "blue-collar" "married" "primary" "no" 457 "yes" "no" "unknown" 9 "may" 76 1 -1 0 "no"
32 "admin." "married" "secondary" "no" 83 "yes" "no" "unknown" 21 "may" 189 2 -1 0 "no"
24 "blue-collar" "married" "secondary" "no" 0 "no" "no" "unknown" 28 "may" 94 1 -1 0 "no"
51 "blue-collar" "married" "primary" "no" 917 "yes" "no" "unknown" 29 "may" 184 3 -1 0 "no"
36 "management" "married" "tertiary" "no" 1433 "yes" "no" "teleph" 7 "aug" 100 2 -1 0 "no"
36 "technician" "married" "tertiary" "no" 182 "yes" "no" "teleph" 28 "jan" 57 1 -1 0 "no"
42 "management" "married" "tertiary" "no" 2377 "yes" "no" "teleph" 17 "nov" 525 3 -1 0 "yes"
49 "admin." "married" "secondary" "no" 15696 "yes" "no" "teleph" 21 "nov" 60 1 -1 0 "no"
48 "management" "married" "secondary" "no" 2493 "yes" "no" "unknown" 26 "may" 251 11 -1 0 "no"
36 "management" "married" "secondary" "no" 87 "yes" "no" "unknown" 30 "may" 251 3 -1 0 "no"
48 "management" "married" "primary" "no" 2758 "no" "no" "teleph" 26 "aug" 219 6 -1 0 "no"
30 "technician" "married" "tertiary" "no" 618 "no" "no" "teleph" 27 "aug" 976 12 -1 0 "yes"
27 "management" "single" "tertiary" "yes" 0 "no" "yes" "teleph" 8 "jul" 46 1 -1 0 "no"
38 "entrepreneur" "married" "tertiary" "no" 0 "yes" "no" "teleph" 18 "nov" 185 3 -1 0 "no"
36 "technician" "single" "secondary" "yes" 13 "no" "no" "teleph" 12 "aug" 587 2 -1 0 "yes"
45 "technician" "married" "secondary" "no" 53 "no" "no" "teleph" 29 "jul" 65 2 -1 0 "no"
44 "housemaid" "married" "tertiary" "no" 500 "no" "no" "unknown" 17 "jun" 491 1 -1 0 "no"
42 "technician" "married" "secondary" "no" 666 "yes" "no" "teleph" 11 "may" 432 2 -1 0 "no"
37 "entrepreneur" "married" "tertiary" "no" 8635 "no" "no" "teleph" 21 "nov" 102 1 -1 0 "no"
48 "blue-collar" "married" "secondary" "no" 1242 "yes" "no" "teleph" 17 "apr" 264 1 317 1 "no"
57 "retired" "married" "primary" "no" -504 "yes" "no" "teleph" 4 "feb" 75 1 190 6 "no"
44 "services" "married" "secondary" "no" 2162 "yes" "yes" "teleph" 20 "apr" 106 2 -1 0 "no"
48 "technician" "married" "secondary" "no" 18 "yes" "yes" "teleph" 17 "nov" 81 1 -1 0 "no"
56 "retired" "married" "primary" "no" -1 "no" "no" "teleph" 27 "aug" 89 23 -1 0 "no"
37 "management" "married" "tertiary" "no" 1846 "yes" "no" "unknown" 6 "jun" 95 2 -1 0 "no"
47 "blue-collar" "married" "secondary" "no" 5767 "yes" "no" "unknown" 15 "may" 322 1 -1 0 "no"
54 "housemaid" "married" "unknown" "no" 0 "no" "no" "teleph" 14 "apr" 94 5 145 3 "no"
51 "retired" "divorced" "secondary" "no" 1825 "no" "no" "teleph" 12 "aug" 417 1 365 9 "yes"
47 "admin." "married" "secondary" "no" 3996 "no" "no" "teleph" 18 "oct" 567 1 95 3 "yes"
25 "management" "married" "tertiary" "no" -263 "yes" "yes" "teleph" 18 "may" 600 4 332 4 "yes"
39 "services" "single" "secondary" "no" 512 "no" "no" "unknown" 15 "oct" 5 1 -1 0 "no"
40 "management" "married" "tertiary" "no" 9676 "yes" "no" "teleph" 14 "aug" 464 5 -1 0 "no"
38 "management" "single" "tertiary" "no" 1852 "no" "no" "teleph" 1 "sep" 222 1 -1 0 "no"
34 "management" "married" "tertiary" "no" 3315 "yes" "no" "teleph" 13 "may" 469 1 -1 0 "yes"
53 "housemaid" "married" "primary" "no" 2805 "no" "no" "teleph" 15 "apr" 99 1 -1 0 "no"
32 "services" "married" "secondary" "no" 176 "yes" "no" "unknown" 14 "may" 297 2 -1 0 "no"
35 "blue-collar" "married" "secondary" "no" 264 "yes" "no" "teleph" 20 "apr" 41 3 -1 0 "no"
24 "student" "single" "secondary" "no" 2008 "no" "no" "teleph" 9 "dec" 390 1 -1 0 "no"
58 "blue-collar" "married" "primary" "no" 0 "yes" "no" "unknown" 29 "may" 535 2 -1 0 "no"
49 "management" "married" "primary" "no" 3664 "no" "no" "teleph" 11 "nov" 269 2 -1 0 "yes"
45 "services" "single" "secondary" "no" 1910 "yes" "no" "teleph" 20 "apr" 1010 3 326 1 "no"
55 "management" "married" "tertiary" "no" 186 "yes" "no" "teleph" 8 "aug" 73 6 -1 0 "no"
42 "entrepreneur" "married" "tertiary" "no" 171 "yes" "yes" "unknown" 7 "may" 650 1 -1 0 "no"
28 "admin." "married" "secondary" "no" 1015 "yes" "no" "unknown" 4 "jul" 53 2 -1 0 "no"
48 "blue-collar" "married" "secondary" "no" -21 "no" "yes" "unknown" 4 "jul" 270 1 -1 0 "no"
51 "management" "single" "tertiary" "yes" -60 "yes" "no" "teleph" 18 "aug" 119 6 -1 0 "no"
38 "housemaid" "married" "primary" "no" 23 "no" "no" "teleph" 26 "aug" 634 2 -1 0 "no"
27 "blue-collar" "single" "secondary" "no" 15 "no" "no" "unknown" 14 "may" 72 2 -1 0 "no"
50 "technician" "single" "secondary" "no" 267 "yes" "no" "teleph" 17 "nov" 270 1 123 2 "no"
44 "blue-collar" "married" "primary" "no" 964 "yes" "no" "teleph" 12 "may" 165 2 363 1 "no"
40 "management" "married" "tertiary" "no" 55 "no" "no" "teleph" 19 "aug" 164 2 -1 0 "no"
29 "services" "single" "secondary" "no" -312 "yes" "no" "teleph" 18 "may" 196 1 -1 0 "no"
34 "services" "married" "secondary" "no" 0 "yes" "no" "teleph" 14 "jul" 78 4 -1 0 "no"
44 "self-employed" "single" "tertiary" "no" 2972 "yes" "no" "teleph" 12 "may" 897 4 -1 0 "yes"
50 "entrepreneur" "married" "tertiary" "no" 57 "no" "no" "teleph" 31 "jul" 22 8 -1 0 "no"
34 "management" "married" "tertiary" "no" 2820 "yes" "no" "teleph" 21 "nov" 161 3 -1 0 "no"
54 "retired" "divorced" "primary" "no" 24 "no" "no" "unknown" 20 "jun" 23 4 -1 0 "no"
34 "technician" "married" "tertiary" "no" 1751 "yes" "no" "teleph" 11 "may" 490 2 -1 0 "no"
34 "admin." "single" "tertiary" "no" 20 "yes" "yes" "teleph" 30 "apr" 359 1 -1 0 "yes"
52 "blue-collar" "married" "primary" "no" 1447 "yes" "no" "teleph" 29 "jul" 213 2 -1 0 "no"
60 "unknown" "married" "unknown" "no" 7975 "no" "no" "teleph" 4 "aug" 122 1 -1 0 "no"
39 "management" "single" "secondary" "no" 908 "yes" "no" "unknown" 29 "may" 587 4 -1 0 "no"
58 "retired" "married" "primary" "no" 5535 "no" "no" "unknown" 11 "jun" 199 6 -1 0 "no"
41 "technician" "divorced" "secondary" "no" 57 "no" "no" "teleph" 20 "aug" 261 2 -1 0 "no"
48 "technician" "married" "secondary" "no" 11582 "no" "no" "teleph" 31 "jul" 5 3 -1 0 "no"
58 "management" "married" "tertiary" "no" 1990 "no" "no" "teleph" 17 "nov" 1531 1 -1 0 "no"
40 "self-employed" "married" "primary" "no" 100 "yes" "no" "unknown" 13 "may" 92 1 -1 0 "no"
48 "management" "married" "tertiary" "no" 637 "yes" "yes" "teleph" 6 "may" 179 2 -1 0 "no"
52 "blue-collar" "divorced" "primary" "no" 1911 "yes" "no" "unknown" 15 "may" 41 1 -1 0 "no"
50 "self-employed" "married" "secondary" "no" 2240 "yes" "yes" "teleph" 29 "jan" 197 2 244 3 "no"
25 "technician" "single" "secondary" "no" 1042 "no" "no" "teleph" 9 "jul" 144 5 -1 0 "no"
54 "retired" "married" "primary" "no" 226 "no" "no" "unknown" 12 "may" 255 1 -1 0 "no"
34 "services" "married" "secondary" "no" -342 "yes" "no" "unknown" 8 "may" 56 2 -1 0 "no"
48 "management" "married" "tertiary" "yes" -14 "yes" "no" "teleph" 15 "may" 20 6 291 2 "no"
37 "admin." "married" "tertiary" "no" 871 "no" "no" "teleph" 11 "aug" 331 7 -1 0 "no"
66 "retired" "married" "tertiary" "no" 2117 "no" "no" "teleph" 28 "jan" 216 1 91 4 "yes"
32 "management" "single" "tertiary" "no" 816 "yes" "no" "unknown" 8 "may" 64 1 -1 0 "no"
45 "blue-collar" "married" "secondary" "no" 852 "yes" "yes" "unknown" 3 "jun" 34 1 -1 0 "no"
43 "blue-collar" "single" "secondary" "no" 26 "no" "no" "teleph" 12 "may" 68 1 363 1 "no"
41 "management" "married" "tertiary" "no" 78 "yes" "no" "unknown" 7 "may" 764 3 -1 0 "no"
40 "technician" "divorced" "tertiary" "no" 2034 "yes" "no" "teleph" 17 "nov" 64 1 -1 0 "no"
44 "services" "single" "secondary" "no" 1498 "yes" "no" "unknown" 8 "may" 257 2 -1 0 "no"
43 "blue-collar" "married" "primary" "no" 204 "yes" "no" "teleph" 12 "may" 58 3 347 5 "no"
30 "unknown" "single" "tertiary" "no" 7430 "no" "no" "teleph" 27 "feb" 30 3 -1 0 "no"
32 "services" "married" "secondary" "no" 66 "yes" "no" "teleph" 8 "jul" 529 5 -1 0 "no"
57 "admin." "married" "secondary" "no" -1051 "yes" "no" "teleph" 15 "may" 8 7 -1 0 "no"
31 "blue-collar" "single" "tertiary" "no" 502 "yes" "yes" "unknown" 19 "may" 147 1 -1 0 "no"
49 "unknown" "married" "secondary" "no" 0 "no" "no" "teleph" 28 "aug" 173 2 -1 0 "no"
31 "admin." "single" "secondary" "no" 6008 "yes" "no" "unknown" 21 "may" 132 1 -1 0 "no"
41 "admin." "married" "tertiary" "no" 1399 "no" "no" "unknown" 16 "jun" 286 1 -1 0 "no"
44 "management" "married" "tertiary" "no" 18871 "no" "no" "unknown" 18 "jun" 476 1 -1 0 "no"
54 "entrepreneur" "married" "unknown" "no" 2126 "no" "no" "teleph" 19 "nov" 221 5 -1 0 "no"
37 "blue-collar" "divorced" "secondary" "no" 0 "yes" "no" "teleph" 21 "apr" 146 4 -1 0 "yes"
34 "management" "married" "secondary" "no" -320 "yes" "no" "unknown" 27 "may" 532 2 -1 0 "no"
43 "technician" "married" "secondary" "no" 299 "no" "no" "teleph" 25 "aug" 69 6 -1 0 "no"
44 "management" "married" "tertiary" "no" 787 "yes" "no" "teleph" 17 "nov" 157 2 172 1 "no"
44 "services" "married" "secondary" "no" 29 "no" "no" "teleph" 25 "may" 485 1 -1 0 "no"
53 "admin." "divorced" "secondary" "no" 28 "yes" "no" "teleph" 7 "may" 56 1 359 1 "no"
36 "technician" "married" "secondary" "no" 208 "no" "no" "teleph" 31 "aug" 69 1 -1 0 "no"
58 "technician" "divorced" "secondary" "no" -134 "no" "no" "teleph" 5 "aug" 131 2 -1 0 "no"
26 "student" "single" "secondary" "no" -160 "no" "no" "unknown" 4 "jun" 95 2 -1 0 "no"
34 "technician" "single" "secondary" "no" 195 "no" "no" "teleph" 19 "aug" 294 3 -1 0 "no"
55 "blue-collar" "married" "primary" "no" 1180 "yes" "no" "teleph" 6 "may" 146 1 272 2 "no"
55 "blue-collar" "married" "secondary" "no" 512 "yes" "no" "unknown" 30 "may" 58 2 -1 0 "no"
34 "entrepreneur" "married" "tertiary" "no" 114 "yes" "no" "unknown" 28 "may" 249 2 -1 0 "no"
41 "entrepreneur" "divorced" "secondary" "no" 1726 "yes" "yes" "unknown" 20 "jun" 10 8 -1 0 "no"
38 "housemaid" "divorced" "secondary" "no" 76 "no" "no" "teleph" 27 "oct" 255 3 148 1 "yes"
28 "blue-collar" "single" "secondary" "no" 2935 "no" "no" "teleph" 3 "feb" 337 4 -1 0 "no"
41 "technician" "married" "secondary" "no" 1741 "yes" "no" "teleph" 2 "jun" 142 1 -1 0 "no"
30 "admin." "married" "tertiary" "no" 0 "yes" "no" "teleph" 24 "jul" 209 2 -1 0 "no"
39 "technician" "married" "unknown" "no" 912 "no" "no" "unknown" 30 "may" 825 2 -1 0 "no"
41 "admin." "married" "secondary" "no" 23386 "yes" "no" "unknown" 5 "jun" 87 1 -1 0 "no"
36 "technician" "married" "secondary" "no" 6415 "yes" "no" "unknown" 23 "may" 219 4 -1 0 "no"
37 "management" "married" "tertiary" "no" 595 "yes" "yes" "unknown" 21 "may" 143 1 -1 0 "no"
59 "self-employed" "married" "tertiary" "no" 4130 "no" "yes" "teleph" 9 "jul" 70 1 -1 0 "no"
26 "technician" "single" "secondary" "no" 284 "yes" "no" "unknown" 27 "may" 371 2 -1 0 "no"
43 "technician" "married" "secondary" "no" 0 "yes" "yes" "teleph" 4 "feb" 539 8 204 5 "no"
42 "management" "married" "secondary" "yes" -37 "no" "no" "teleph" 5 "feb" 176 1 -1 0 "no"
46 "blue-collar" "married" "unknown" "no" 10139 "yes" "no" "teleph" 5 "may" 725 3 -1 0 "yes"
31 "admin." "married" "secondary" "no" 5 "yes" "yes" "teleph" 16 "jul" 101 7 -1 0 "no"
43 "unemployed" "married" "secondary" "no" 3836 "no" "no" "teleph" 5 "feb" 169 2 -1 0 "no"
48 "blue-collar" "single" "tertiary" "no" 2533 "yes" "no" "unknown" 4 "jun" 15 1 -1 0 "no"
41 "blue-collar" "married" "secondary" "no" 1450 "yes" "no" "teleph" 20 "apr" 234 5 -1 0 "no"
32 "self-employed" "married" "tertiary" "no" 3914 "no" "no" "teleph" 22 "aug" 171 15 -1 0 "no"
45 "technician" "married" "tertiary" "no" 288 "no" "no" "teleph" 28 "aug" 14 3 -1 0 "no"
52 "admin." "single" "unknown" "no" 2421 "no" "no" "teleph" 24 "feb" 242 2 -1 0 "yes"
37 "self-employed" "married" "secondary" "no" 529 "no" "yes" "teleph" 27 "aug" 155 15 -1 0 "no"
38 "blue-collar" "divorced" "secondary" "no" 0 "yes" "no" "teleph" 11 "may" 580 1 173 1 "no"
36 "services" "single" "secondary" "no" 189 "yes" "no" "unknown" 7 "may" 223 2 -1 0 "no"
58 "retired" "married" "secondary" "no" 15665 "no" "no" "teleph" 18 "nov" 297 1 -1 0 "no"
37 "management" "married" "tertiary" "no" 3574 "no" "no" "teleph" 8 "aug" 124 2 -1 0 "no"
30 "technician" "single" "secondary" "no" 62 "no" "no" "teleph" 2 "feb" 465 2 -1 0 "no"
47 "technician" "married" "secondary" "no" 2441 "yes" "no" "teleph" 10 "jul" 330 1 -1 0 "no"
40 "technician" "married" "secondary" "no" 4827 "yes" "no" "teleph" 20 "nov" 153 2 183 2 "no"
42 "management" "divorced" "tertiary" "no" 0 "no" "no" "unknown" 19 "may" 131 2 -1 0 "no"
71 "unknown" "married" "tertiary" "no" 384 "no" "no" "teleph" 27 "jan" 208 1 93 2 "no"
54 "blue-collar" "married" "secondary" "no" 487 "yes" "yes" "teleph" 5 "aug" 98 1 -1 0 "no"
53 "entrepreneur" "married" "primary" "no" 29 "yes" "no" "teleph" 10 "sep" 230 3 -1 0 "yes"
33 "blue-collar" "divorced" "secondary" "no" 515 "no" "no" "teleph" 22 "jul" 400 2 -1 0 "no"
30 "technician" "single" "tertiary" "no" 1288 "yes" "no" "teleph" 30 "apr" 284 1 339 1 "no"
39 "services" "divorced" "secondary" "no" 307 "yes" "no" "teleph" 17 "jul" 243 1 -1 0 "no"
32 "blue-collar" "married" "secondary" "no" 2 "yes" "no" "teleph" 15 "may" 16 9 309 1 "no"
34 "technician" "single" "secondary" "no" 65 "no" "no" "teleph" 7 "aug" 274 2 -1 0 "no"
39 "self-employed" "single" "tertiary" "no" 4317 "no" "no" "teleph" 30 "jul" 122 3 -1 0 "no"
75 "retired" "married" "secondary" "no" 28752 "no" "no" "teleph" 15 "jul" 219 2 -1 0 "no"
33 "admin." "divorced" "secondary" "no" 889 "yes" "yes" "teleph" 16 "apr" 301 3 -1 0 "no"
40 "services" "married" "secondary" "no" 10189 "yes" "no" "teleph" 21 "nov" 7 8 185 1 "no"
37 "technician" "married" "unknown" "no" 51 "no" "no" "unknown" 19 "jun" 374 3 -1 0 "no"
69 "retired" "married" "primary" "no" 303 "no" "no" "teleph" 12 "aug" 26 1 -1 0 "no"
52 "unemployed" "married" "primary" "no" 22 "yes" "no" "teleph" 28 "jan" 172 1 -1 0 "no"
31 "admin." "divorced" "secondary" "no" 391 "no" "no" "teleph" 15 "may" 332 1 297 2 "no"
28 "technician" "single" "secondary" "no" 1665 "no" "no" "teleph" 22 "may" 253 1 107 5 "no"
29 "management" "single" "tertiary" "no" 1818 "no" "no" "teleph" 16 "aug" 200 2 159 3 "no"
46 "services" "married" "secondary" "no" 2630 "no" "no" "teleph" 19 "nov" 405 2 -1 0 "no"
28 "blue-collar" "married" "secondary" "no" 109 "yes" "yes" "unknown" 27 "may" 132 2 -1 0 "no"
41 "admin." "married" "secondary" "no" 0 "no" "no" "unknown" 20 "jun" 89 1 -1 0 "no"
42 "technician" "divorced" "secondary" "no" 1666 "no" "yes" "teleph" 5 "aug" 86 1 -1 0 "no"
34 "admin." "single" "secondary" "no" 322 "no" "no" "teleph" 7 "jul" 147 4 -1 0 "no"
28 "blue-collar" "married" "secondary" "no" 3030 "yes" "no" "unknown" 6 "jun" 369 2 -1 0 "yes"
43 "management" "single" "secondary" "no" 118 "yes" "no" "unknown" 27 "may" 64 3 -1 0 "no"
32 "technician" "married" "secondary" "no" 527 "no" "no" "teleph" 26 "aug" 98 14 -1 0 "no"
33 "technician" "single" "tertiary" "no" 136 "no" "no" "teleph" 29 "aug" 66 2 -1 0 "no"
70 "retired" "married" "secondary" "no" 670 "no" "no" "teleph" 27 "apr" 149 2 182 1 "no"
36 "services" "married" "secondary" "no" 3330 "yes" "no" "teleph" 26 "aug" 240 3 107 4 "no"
53 "technician" "married" "secondary" "no" 224 "no" "no" "teleph" 26 "aug" 87 6 -1 0 "no"
30 "blue-collar" "single" "secondary" "no" 7500 "no" "no" "teleph" 21 "nov" 816 1 -1 0 "no"
45 "services" "divorced" "secondary" "no" -195 "no" "no" "unknown" 3 "jul" 155 2 -1 0 "no"
31 "services" "single" "secondary" "no" 523 "yes" "no" "teleph" 20 "nov" 106 2 183 2 "no"
28 "admin." "married" "secondary" "no" 13 "yes" "no" "teleph" 30 "jan" 73 3 256 3 "no"
45 "blue-collar" "married" "primary" "no" 0 "no" "no" "unknown" 23 "may" 574 5 -1 0 "no"
51 "management" "married" "tertiary" "no" 191 "yes" "yes" "unknown" 1 "jun" 8 1 687 2 "no"
53 "management" "married" "primary" "no" 4441 "no" "no" "unknown" 20 "jun" 14 3 -1 0 "no"
40 "technician" "married" "secondary" "no" 279 "yes" "no" "unknown" 16 "may" 731 4 -1 0 "no"
53 "blue-collar" "married" "primary" "no" 58 "yes" "no" "teleph" 7 "apr" 208 1 140 1 "no"
31 "blue-collar" "divorced" "secondary" "no" 7 "yes" "no" "teleph" 29 "jan" 821 1 -1 0 "no"
30 "management" "married" "tertiary" "no" 611 "no" "no" "teleph" 21 "aug" 137 4 -1 0 "no"
53 "entrepreneur" "married" "secondary" "no" -128 "yes" "no" "unknown" 9 "may" 101 3 -1 0 "no"
40 "blue-collar" "married" "primary" "no" 3049 "yes" "no" "teleph" 14 "may" 173 6 353 23 "no"
26 "management" "single" "secondary" "no" 614 "yes" "no" "unknown" 6 "jun" 582 11 -1 0 "no"
47 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "teleph" 21 "jul" 676 1 -1 0 "no"
51 "management" "married" "tertiary" "no" 1752 "no" "no" "teleph" 16 "mar" 384 1 182 5 "no"
45 "unemployed" "married" "primary" "no" 196 "yes" "yes" "unknown" 27 "may" 62 2 -1 0 "no"
35 "management" "married" "tertiary" "no" 0 "yes" "no" "teleph" 21 "jul" 295 3 -1 0 "no"
36 "management" "single" "tertiary" "no" 952 "yes" "no" "unknown" 23 "may" 241 2 -1 0 "no"
57 "admin." "married" "secondary" "no" 2323 "no" "no" "teleph" 8 "jul" 132 7 -1 0 "no"
42 "blue-collar" "married" "primary" "no" 283 "yes" "no" "teleph" 31 "jul" 175 2 -1 0 "no"
32 "blue-collar" "married" "secondary" "yes" -58 "yes" "no" "teleph" 16 "apr" 648 1 272 1 "yes"
30 "management" "married" "tertiary" "no" 1026 "no" "no" "teleph" 29 "oct" 251 2 -1 0 "yes"
36 "technician" "married" "secondary" "no" 2602 "no" "no" "teleph" 14 "aug" 184 2 -1 0 "no"
43 "technician" "married" "secondary" "no" 323 "yes" "no" "teleph" 14 "oct" 119 3 -1 0 "no"
69 "retired" "single" "tertiary" "no" 2330 "no" "no" "teleph" 29 "jul" 417 1 184 4 "yes"
31 "technician" "single" "tertiary" "no" 1053 "no" "no" "teleph" 15 "jun" 95 1 -1 0 "no"
35 "technician" "married" "secondary" "no" 0 "no" "no" "teleph" 14 "jul" 125 2 -1 0 "no"
26 "entrepreneur" "married" "tertiary" "no" 40 "yes" "yes" "teleph" 6 "may" 207 1 363 2 "no"
46 "technician" "married" "secondary" "no" 446 "no" "yes" "teleph" 21 "nov" 162 5 -1 0 "no"
30 "technician" "married" "secondary" "no" 1316 "yes" "no" "teleph" 18 "may" 176 1 -1 0 "no"
33 "management" "single" "tertiary" "no" 77 "no" "no" "teleph" 22 "aug" 107 6 -1 0 "no"
34 "management" "married" "tertiary" "no" 474 "yes" "no" "teleph" 17 "apr" 28 1 345 1 "no"
48 "blue-collar" "married" "primary" "no" 608 "yes" "no" "unknown" 15 "may" 1231 2 -1 0 "no"
31 "management" "married" "tertiary" "no" 1272 "no" "no" "teleph" 20 "aug" 200 4 -1 0 "no"
46 "management" "divorced" "tertiary" "no" 27 "no" "no" "unknown" 26 "may" 103 2 -1 0 "no"
40 "services" "married" "secondary" "no" 1440 "no" "no" "unknown" 11 "jun" 150 2 -1 0 "no"
39 "entrepreneur" "married" "secondary" "no" 0 "no" "no" "teleph" 21 "nov" 108 7 -1 0 "no"
33 "technician" "single" "secondary" "no" 703 "yes" "yes" "teleph" 4 "feb" 124 1 273 1 "no"
50 "blue-collar" "married" "primary" "no" 2328 "yes" "no" "teleph" 29 "jan" 309 2 224 1 "no"
84 "retired" "divorced" "primary" "no" 695 "no" "no" "teleph" 18 "may" 353 3 -1 0 "yes"
40 "blue-collar" "married" "primary" "no" 192 "yes" "yes" "teleph" 21 "jul" 742 4 -1 0 "no"
55 "management" "married" "tertiary" "no" 257 "no" "no" "teleph" 4 "aug" 200 1 -1 0 "no"
40 "services" "divorced" "secondary" "no" 2129 "yes" "no" "unknown" 30 "may" 177 1 -1 0 "no"
46 "admin." "married" "primary" "no" 104 "no" "no" "teleph" 4 "feb" 151 2 -1 0 "no"
43 "self-employed" "single" "tertiary" "no" 0 "no" "no" "unknown" 19 "jun" 147 1 -1 0 "no"
34 "blue-collar" "married" "secondary" "no" 272 "yes" "no" "unknown" 29 "may" 193 6 -1 0 "no"
35 "technician" "single" "secondary" "no" 137 "no" "no" "teleph" 22 "aug" 112 2 -1 0 "no"
